Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,50,26.6,4.47,148,5749,5172,662,1373,258,43,136,625,124,41,449,1203,.265,.325,.411,.736,98,2125,125,31,44,52,37,1057
ATL,59,28.8,3.52,149,5569,5006,525,1253,236,17,88,500,66,32,434,1030,.250,.313,.357,.670,86,1787,131,39,60,29,35,1062
BAL,48,27.9,4.41,148,5488,5019,653,1264,220,18,199,630,38,23,370,1230,.252,.307,.422,.729,97,2117,123,46,20,32,19,894
BOS,51,28.5,4.66,147,5680,5137,685,1375,266,33,148,651,66,24,431,1028,.268,.327,.419,.746,99,2151,112,43,28,40,27,1047
CHC,50,27.0,4.30,148,5670,5026,636,1230,247,28,163,605,90,33,514,1390,.245,.321,.402,.723,98,2022,90,67,30,33,45,1060
CHW,40,28.2,3.97,147,5540,5048,583,1276,239,23,127,557,63,35,365,1129,.253,.309,.385,.693,95,1942,109,60,30,36,19,978
CIN,49,29.5,4.12,147,5650,5057,605,1264,239,26,157,578,131,37,471,1110,.250,.317,.401,.717,95,2026,100,41,44,37,37,1051
CLE,48,28.0,4.16,147,5602,4975,611,1278,273,25,126,585,78,25,497,1048,.257,.326,.398,.724,94,1979,128,37,44,48,32,1061
COL,51,28.0,4.47,148,5533,5079,661,1347,248,44,170,630,88,41,351,1171,.265,.315,.432,.747,88,2193,106,32,40,31,41,929
DET,47,28.4,4.36,147,5643,5138,641,1398,265,45,143,612,79,46,416,1143,.272,.329,.425,.754,108,2182,140,37,19,33,35,1017
HOU,46,26.6,4.37,149,5554,5002,651,1229,249,20,202,619,109,44,440,1284,.246,.311,.425,.735,101,2124,96,50,23,39,17,934
KCR,45,29.2,4.48,148,5560,5081,663,1369,271,37,126,635,97,32,336,863,.269,.321,.412,.733,99,2092,127,71,30,42,25,966
LAA,49,28.7,4.02,148,5472,4950,595,1204,217,17,157,557,48,33,399,1057,.243,.305,.389,.694,96,1926,105,53,33,36,31,924
LAD,55,29.6,4.14,147,5539,4893,608,1233,246,21,173,582,55,33,514,1146,.252,.328,.417,.745,106,2040,121,56,45,28,29,1028
MIA,51,28.0,3.72,149,5500,5014,555,1293,214,35,110,525,104,40,345,1067,.258,.308,.380,.689,89,1907,116,37,66,38,26,973
MIL,44,28.3,4.12,148,5524,5017,610,1278,258,33,136,584,76,28,381,1163,.255,.310,.401,.711,92,2010,121,39,52,33,32,946
MIN,43,28.4,4.33,148,5497,5006,641,1240,253,40,143,607,64,38,390,1160,.248,.304,.400,.704,90,2002,118,35,29,37,30,897
NYM,49,28.6,4.23,148,5623,5054,626,1239,266,15,161,599,49,22,448,1161,.245,.313,.399,.712,97,2018,119,64,26,30,39,1005
NYY,54,31.3,4.82,147,5683,5061,709,1274,247,16,200,683,52,20,490,1107,.252,.322,.425,.747,105,2153,93,55,23,49,20,1023
OAK,50,27.9,4.28,149,5667,5152,638,1302,259,38,135,610,76,26,431,1021,.253,.313,.396,.709,95,2042,111,33,12,35,21,1014
PHI,50,28.1,3.80,149,5556,5084,566,1263,251,34,116,532,77,28,348,1166,.248,.301,.380,.681,86,1930,111,48,47,28,18,983
PIT,45,28.2,4.28,148,5729,5137,633,1330,262,25,128,599,90,42,410,1196,.259,.322,.394,.716,96,2026,106,85,56,41,43,1053
SDP,46,27.7,4.08,149,5548,5043,608,1230,238,34,138,581,78,26,382,1215,.244,.300,.387,.686,91,1950,99,37,45,39,18,941
SEA,51,28.7,4.01,149,5629,5095,597,1266,247,20,180,568,65,42,438,1234,.248,.310,.411,.721,102,2093,107,30,35,31,28,997
SFG,46,29.0,4.30,148,5632,5098,637,1367,264,38,122,606,80,29,412,1045,.268,.327,.407,.733,102,2073,128,48,42,32,27,1045
STL,45,28.4,4.01,148,5635,5035,593,1275,258,36,123,568,65,34,463,1163,.253,.321,.392,.713,93,1974,115,61,35,39,46,1065
TBR,51,28.5,3.82,148,5545,5008,566,1249,253,30,145,540,83,42,407,1202,.249,.313,.399,.712,97,1997,107,74,18,38,19,991
TEX,57,28.6,4.50,148,5640,5032,666,1289,251,28,154,624,90,33,449,1132,.256,.323,.409,.732,97,2058,91,74,38,47,29,1034
TOR,52,29.4,5.53,148,5675,5023,818,1340,278,14,209,783,78,20,513,1048,.267,.337,.453,.790,117,2273,132,49,30,59,9,941
WSN,43,28.5,4.45,148,5608,4970,659,1263,243,13,165,622,55,21,499,1212,.254,.325,.408,.733,98,2027,118,42,53,44,35,1028
LgAvg,44,28.4,4.26,148,5598,5047,630,1286,251,28,149,600,77,32,426,1137,.255,.317,.404,.721,97,2041,114,49,37,38,29,998
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
,1330,28.4,4.26,4440,167940,151412,18901,38591,7516,846,4480,17997,2314,970,12793,34124,.255,.317,.404,.721,97,61239,3405,1474,1097,1136,869,29944
Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,27,27.1,4.36,71,77,.480,4.02,148,148,147,1,11,1,39,1342.2,1335,646,600,168,446,40,1090,42,3,44,5714,102,4.24,1.326,8.9,1.1,3.0,7.3,2.44,1040
ATL,36,26.7,4.83,59,90,.396,4.54,149,149,146,3,6,2,40,1312.1,1359,719,662,160,513,40,1064,52,9,52,5693,85,4.40,1.426,9.3,1.1,3.5,7.3,2.07,1037
BAL,22,28.3,4.24,73,75,.493,4.07,148,148,148,0,10,0,38,1312.0,1284,628,593,165,427,25,1116,50,0,40,5549,101,4.17,1.304,8.8,1.1,2.9,7.7,2.61,985
BOS,26,28.7,4.77,70,77,.476,4.42,147,147,145,2,7,0,37,1315.1,1355,701,646,162,431,14,1105,58,10,76,5659,97,4.18,1.358,9.3,1.1,2.9,7.6,2.56,1013
CHC,29,29.3,3.91,87,61,.588,3.52,148,148,143,5,17,3,44,1333.1,1203,579,522,128,386,38,1291,45,3,61,5522,112,3.43,1.192,8.1,0.9,2.6,8.7,3.34,943
CHW,24,27.8,4.41,70,77,.476,4.03,147,147,141,6,8,3,33,1321.0,1323,648,591,150,425,32,1243,57,2,54,5627,97,3.83,1.323,9.0,1.0,2.9,8.5,2.92,1016
CIN,28,27.4,4.49,63,84,.429,4.20,147,147,145,2,8,1,34,1322.0,1279,660,617,158,492,40,1114,52,11,48,5666,94,4.25,1.340,8.7,1.1,3.3,7.6,2.26,1040
CLE,27,27.4,4.07,73,74,.497,3.76,147,147,137,10,8,0,34,1309.2,1181,599,547,151,386,26,1295,40,4,45,5410,114,3.64,1.196,8.1,1.0,2.7,8.9,3.35,882
COL,30,28.8,5.15,63,85,.426,4.97,148,148,144,4,4,1,35,1302.0,1423,762,719,170,524,40,1012,46,5,59,5737,95,4.60,1.495,9.8,1.2,3.6,7.0,1.93,1069
DET,27,28.7,5.05,69,78,.469,4.73,147,147,141,6,11,4,32,1323.1,1385,743,695,179,449,29,1014,42,8,50,5680,84,4.48,1.386,9.4,1.2,3.1,6.9,2.26,967
HOU,24,29.4,3.78,78,71,.523,3.54,149,149,144,5,13,3,34,1326.0,1198,563,522,135,394,15,1167,37,0,51,5482,114,3.68,1.201,8.1,0.9,2.7,7.9,2.96,941
KCR,24,30.1,3.99,86,62,.581,3.78,148,148,146,2,7,1,50,1324.0,1260,590,556,142,443,10,1050,51,2,56,5582,109,4.07,1.286,8.6,1.0,3.0,7.1,2.37,1020
LAA,22,28.4,4.10,76,72,.514,3.92,148,148,146,2,12,2,41,1318.2,1243,607,574,149,408,39,1107,66,4,58,5564,96,4.01,1.252,8.5,1.0,2.8,7.6,2.71,1001
LAD,31,28.1,3.59,85,62,.578,3.36,147,147,142,5,20,2,42,1312.0,1184,528,490,125,362,27,1271,37,9,47,5378,111,3.36,1.178,8.1,0.9,2.5,8.7,3.51,914
MIA,28,27.4,4.09,64,85,.430,3.92,149,149,149,0,11,0,31,1313.0,1249,609,572,128,460,23,1062,48,3,49,5548,98,3.96,1.302,8.6,0.9,3.2,7.3,2.31,1000
MIL,23,28.7,4.62,62,86,.419,4.32,148,148,147,1,6,0,36,1314.0,1316,684,631,164,463,34,1150,51,5,65,5634,92,4.19,1.354,9.0,1.1,3.2,7.9,2.48,1008
MIN,24,29.1,4.41,75,73,.507,4.16,148,148,146,2,12,0,42,1319.0,1388,652,609,153,378,30,939,39,2,51,5620,101,4.18,1.339,9.5,1.0,2.6,6.4,2.48,1011
NYM,26,28.2,3.78,84,64,.568,3.41,148,148,147,1,12,1,48,1339.2,1231,559,508,138,353,41,1202,38,2,37,5537,109,3.57,1.182,8.3,0.9,2.4,8.1,3.41,959
NYY,33,27.5,4.27,81,66,.551,3.98,147,147,144,3,4,0,45,1324.2,1282,628,586,160,420,8,1254,52,4,73,5615,101,3.89,1.285,8.7,1.1,2.9,8.5,2.99,1013
OAK,29,27.8,4.33,64,85,.430,3.96,149,149,144,5,15,3,24,1327.2,1259,645,584,150,425,16,1111,46,4,58,5597,102,4.00,1.268,8.5,1.0,2.9,7.5,2.61,969
PHI,30,28.6,5.16,56,93,.376,4.88,149,149,148,1,6,1,32,1317.0,1480,769,714,180,455,33,1058,57,7,52,5837,81,4.48,1.469,10.1,1.2,3.1,7.2,2.33,1117
PIT,21,29.6,3.70,88,60,.595,3.21,148,148,148,0,11,0,50,1361.2,1280,547,485,98,418,36,1214,70,4,63,5692,120,3.37,1.247,8.5,0.6,2.8,8.0,2.90,1060
SDP,26,29.2,4.57,69,80,.463,4.13,149,149,148,1,5,0,39,1326.1,1274,681,609,157,473,34,1259,52,2,45,5629,90,3.97,1.317,8.6,1.1,3.2,8.5,2.66,969
SEA,28,28.6,4.48,72,77,.483,4.17,149,149,143,6,12,5,44,1345.2,1301,667,623,163,453,40,1169,61,5,69,5709,92,4.13,1.303,8.7,1.1,3.0,7.8,2.58,1005
SFG,21,31.5,3.81,77,71,.520,3.66,148,148,142,6,17,3,37,1317.1,1234,564,536,141,387,25,1073,45,3,36,5476,103,3.89,1.231,8.4,1.0,2.6,7.3,2.77,960
STL,23,28.2,3.25,92,56,.622,2.92,148,148,147,1,14,0,58,1342.2,1246,481,435,111,437,32,1213,40,4,41,5628,135,3.47,1.253,8.4,0.7,2.9,8.1,2.78,1119
