Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,41,26.8,4.42,108,4194,3767,477,987,181,30,97,448,95,32,330,885,.262,.323,.403,.726,98,1519,82,25,36,35,30,774
ATL,52,28.9,3.75,110,4119,3721,413,941,177,12,69,393,51,25,303,747,.253,.313,.363,.675,87,1349,90,30,45,19,28,766
BAL,44,28.0,4.40,108,3958,3624,475,925,157,18,137,455,30,17,264,874,.255,.309,.422,.731,100,1529,92,31,14,24,15,643
BOS,47,29.0,4.17,110,4184,3783,459,970,173,22,99,435,48,14,324,733,.256,.319,.392,.711,94,1484,91,32,20,24,18,782
CHC,44,27.1,3.91,108,4129,3664,422,878,170,15,99,403,76,26,371,994,.240,.316,.375,.691,92,1375,66,49,22,23,37,779
CHW,36,28.5,3.72,107,3989,3652,398,909,170,19,89,377,41,29,248,829,.249,.303,.379,.682,93,1384,80,45,18,25,11,700
CIN,42,29.7,3.92,107,4103,3682,419,921,164,18,114,401,102,29,330,781,.250,.315,.397,.712,95,1463,71,30,37,24,23,770
CLE,41,28.5,3.86,108,4090,3628,417,903,193,14,89,402,55,19,369,780,.249,.320,.383,.703,92,1391,89,25,30,37,25,779
COL,43,28.1,4.60,107,4023,3684,492,1006,188,32,123,476,62,33,266,837,.273,.325,.442,.766,97,1627,79,26,26,21,30,694
DET,44,28.5,4.43,109,4157,3792,483,1042,191,35,110,459,64,36,305,839,.275,.331,.431,.762,110,1633,111,26,13,21,30,737
HOU,43,26.6,4.45,111,4130,3712,494,907,187,12,154,467,83,29,335,972,.244,.311,.426,.737,102,1580,70,37,16,30,14,689
KCR,39,29.1,4.30,108,4014,3679,464,989,186,29,85,443,68,25,228,627,.269,.319,.404,.724,98,1488,93,57,21,29,17,701
LAA,45,28.7,4.21,108,4002,3616,455,894,154,9,120,433,31,23,299,772,.247,.309,.394,.703,100,1426,69,36,24,27,24,679
LAD,50,29.6,4.18,109,4076,3613,456,919,185,16,134,442,24,24,373,827,.254,.329,.426,.755,109,1538,93,39,30,19,19,746
MIA,48,28.0,3.58,110,4051,3699,394,931,151,23,81,370,73,30,255,820,.252,.303,.371,.674,86,1371,81,28,47,22,20,725
MIL,39,28.6,3.95,111,4117,3751,438,942,187,25,96,419,53,21,273,840,.251,.306,.391,.697,89,1467,90,32,39,21,25,704
MIN,42,28.6,4.22,109,3990,3644,460,905,188,33,96,437,52,33,269,812,.248,.302,.397,.699,89,1447,92,25,22,30,25,638
NYM,45,28.4,3.69,109,4056,3665,402,870,176,10,98,387,39,14,299,857,.237,.302,.371,.673,87,1360,85,47,22,22,29,730
NYY,50,31.5,4.90,108,4189,3726,529,964,193,14,147,507,40,16,357,784,.259,.328,.436,.764,112,1626,73,44,19,39,15,767
OAK,43,28.0,4.11,111,4188,3803,456,951,190,26,88,433,64,20,318,728,.250,.310,.383,.693,92,1457,84,26,9,31,15,757
PHI,39,28.3,3.72,110,4106,3769,409,950,189,23,79,387,63,21,250,813,.252,.302,.377,.680,88,1422,82,31,35,20,12,745
PIT,43,28.0,4.12,107,4112,3699,441,949,192,14,86,415,70,28,281,865,.257,.317,.386,.703,96,1427,67,61,45,26,31,764
SDP,37,27.9,3.92,110,4110,3739,431,893,166,25,95,414,66,19,282,926,.239,.295,.373,.668,89,1394,70,27,31,29,15,704
SEA,42,28.9,3.75,110,4136,3751,412,910,176,15,126,391,49,29,314,880,.243,.304,.398,.702,98,1494,74,25,23,23,21,736
SFG,37,29.0,4.39,109,4157,3772,479,1025,192,25,96,454,50,23,296,753,.272,.328,.412,.740,109,1555,98,31,31,27,17,761
STL,44,28.5,3.97,109,4159,3722,433,947,197,21,89,417,52,26,334,839,.254,.322,.390,.712,96,1453,85,49,24,29,38,777
TBR,49,28.5,3.70,110,4064,3666,407,888,181,24,103,387,65,33,300,902,.242,.307,.389,.696,95,1426,75,56,15,27,16,713
TEX,52,28.5,4.44,108,4125,3700,480,939,190,22,112,451,66,22,315,853,.254,.318,.408,.726,98,1509,68,47,30,33,21,748
TOR,48,29.5,5.31,111,4220,3749,589,990,215,10,149,568,59,18,374,772,.264,.333,.446,.779,115,1672,95,31,25,40,6,691
WSN,42,28.5,4.16,108,4048,3616,449,898,177,11,107,424,41,17,333,862,.248,.315,.392,.707,94,1418,81,32,37,30,26,733
LgAvg,41,28.5,4.14,109,4100,3703,451,938,181,20,106,430,58,24,307,827,.253,.314,.399,.713,97,1476,83,36,27,27,22,731
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
,1219,28.5,4.14,3268,122996,111088,13533,28143,5436,602,3167,12895,1732,731,9195,24803,.253,.314,.399,.713,97,44284,2476,1080,806,807,653,21932
Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,23,27.3,4.34,53,55,.491,4.09,108,108,107,1,8,1,29,980.1,960,469,445,121,321,29,787,30,1,30,4148,97,4.17,1.307,8.8,1.1,2.9,7.2,2.45,738
ATL,31,27.0,4.40,50,60,.455,4.13,110,110,108,2,6,2,36,972.1,991,484,446,107,352,30,789,35,4,34,4163,92,4.10,1.381,9.2,1.0,3.3,7.3,2.24,762
BAL,21,28.5,3.94,55,53,.509,3.79,108,108,108,0,8,0,30,948.1,897,426,399,113,307,14,805,38,0,28,3971,106,4.04,1.270,8.5,1.1,2.9,7.6,2.62,700
BOS,23,29.2,4.81,49,61,.445,4.49,110,110,109,1,5,0,27,977.0,1013,529,487,122,319,11,818,47,7,50,4216,91,4.17,1.363,9.3,1.1,2.9,7.5,2.56,757
CHC,25,29.3,3.77,60,48,.556,3.42,108,108,105,3,13,2,30,977.2,873,407,372,90,284,32,925,26,3,39,4024,111,3.35,1.183,8.0,0.8,2.6,8.5,3.26,684
CHW,20,27.8,4.38,51,56,.477,4.06,107,107,103,4,7,3,25,958.0,971,469,432,101,305,27,898,43,2,40,4078,95,3.68,1.332,9.1,0.9,2.9,8.4,2.94,735
CIN,24,27.7,4.36,48,59,.449,4.04,107,107,105,2,7,1,24,966.2,893,466,434,106,359,35,793,40,9,30,4118,96,4.12,1.295,8.3,1.0,3.3,7.4,2.21,752
CLE,23,27.6,4.24,49,59,.454,3.87,108,108,102,6,7,0,26,959.2,887,458,413,108,284,25,957,34,4,35,3988,106,3.56,1.220,8.3,1.0,2.7,9.0,3.37,651
COL,26,29.2,5.21,46,61,.430,4.96,107,107,106,1,2,0,24,938.2,1034,557,517,123,368,28,719,37,2,37,4142,91,4.56,1.494,9.9,1.2,3.5,6.9,1.95,769
DET,25,28.8,4.79,53,56,.486,4.46,109,109,105,4,8,2,26,979.2,1021,522,486,125,311,20,760,31,5,34,4189,90,4.23,1.360,9.4,1.1,2.9,7.0,2.44,728
HOU,23,29.4,3.73,61,50,.550,3.52,111,111,107,4,10,2,29,988.2,889,414,387,93,290,8,831,27,0,35,4075,114,3.60,1.193,8.1,0.8,2.6,7.6,2.87,695
KCR,20,30.5,3.73,64,44,.593,3.57,108,108,107,1,5,0,36,959.1,889,403,381,95,320,8,724,29,1,41,4009,113,3.96,1.260,8.3,0.9,3.0,6.8,2.26,728
LAA,21,28.8,3.77,58,50,.537,3.61,108,108,106,2,9,2,27,960.2,884,407,385,107,282,25,800,41,3,44,4010,102,3.89,1.214,8.3,1.0,2.6,7.5,2.84,721
LAD,31,28.2,3.59,62,47,.569,3.40,109,109,105,4,15,2,29,965.2,882,391,365,91,275,22,944,27,7,36,3974,110,3.30,1.198,8.2,0.8,2.6,8.8,3.43,686
MIA,25,27.7,4.09,43,67,.391,3.87,110,110,110,0,8,0,20,966.1,918,450,416,87,304,12,785,34,2,40,4061,99,3.69,1.265,8.5,0.8,2.8,7.3,2.58,712
MIL,20,29.2,4.43,47,64,.423,4.14,111,111,110,1,5,0,25,985.2,978,492,453,116,324,29,867,36,4,49,4186,95,3.96,1.321,8.9,1.1,3.0,7.9,2.68,737
MIN,22,29.1,4.36,55,54,.505,4.11,109,109,108,1,9,0,32,964.2,1019,475,440,120,265,25,662,28,1,42,4103,101,4.25,1.331,9.5,1.1,2.5,6.2,2.50,734
NYM,23,28.3,3.54,59,50,.541,3.22,109,109,109,0,9,0,35,978.1,880,386,350,93,256,34,871,27,0,25,4030,117,3.42,1.161,8.1,0.9,2.4,8.0,3.40,709
NYY,30,27.8,4.26,61,47,.565,3.93,108,108,106,2,1,0,34,969.1,930,460,423,115,285,5,897,37,2,54,4080,100,3.78,1.253,8.6,1.1,2.6,8.3,3.15,712
OAK,24,27.9,3.81,49,62,.441,3.43,111,111,106,5,14,3,19,987.0,890,423,376,90,297,12,841,33,2,43,4097,114,3.58,1.203,8.1,0.8,2.7,7.7,2.83,713
PHI,24,29.1,4.87,43,67,.391,4.58,110,110,109,1,4,1,22,973.0,1082,536,495,120,340,26,792,46,5,37,4304,84,4.26,1.461,10.0,1.1,3.1,7.3,2.33,849
PIT,21,29.5,3.65,63,44,.589,3.18,107,107,107,0,10,0,37,980.2,927,391,347,76,301,23,862,57,4,42,4104,116,3.44,1.252,8.5,0.7,2.8,7.9,2.86,771
SDP,20,29.3,4.44,52,58,.473,3.97,110,110,109,1,2,0,32,985.1,932,488,435,120,328,24,901,37,1,30,4137,90,3.96,1.279,8.5,1.1,3.0,8.2,2.75,693
SEA,23,28.9,4.22,51,59,.464,3.96,110,110,105,5,8,4,31,992.2,938,464,437,121,324,33,872,38,3,45,4171,95,4.02,1.271,8.5,1.1,2.9,7.9,2.69,729
SFG,18,31.9,3.88,59,50,.541,3.73,109,109,106,3,14,1,30,973.2,932,423,403,100,288,15,774,35,2,28,4070,96,3.84,1.253,8.6,0.9,2.7,7.2,2.69,726
STL,22,28.2,2.88,70,39,.642,2.60,109,109,108,1,12,0,44,999.1,891,314,289,73,310,24,894,26,2,29,4140,146,3.25,1.202,8.0,0.7,2.8,8.1,2.88,828
