52,29.6,4.14,125,4666,4135,517,1048,205,19,153,500,31,28,427,955,.253,.328,.423,.751,106,1750,105,43,36,23,20,852,31,28.1,3.67,69,56,.552,3.49,125,125,121,4,17,2,33,1105.0,1017,459,428,107,309,23,1068,31,7,40,4549,109,3.37,1.200,8.3,0.9,2.5,8.7,3.46,775,52,3.67,.689,125,1125,856,9945.0,4689,3315,1319,55,99,.988,12,1,-9,-1
50,28.0,3.71,127,4697,4277,471,1087,175,34,91,441,94,34,306,927,.254,.307,.375,.682,87,1603,90,32,55,27,22,843,27,27.6,4.18,51,76,.402,3.99,127,127,127,0,8,0,25,1116.1,1076,531,495,105,363,15,906,39,3,43,4717,97,3.80,1.289,8.7,0.8,2.9,7.3,2.50,837,50,4.18,.693,127,1143,916,10047.0,4657,3349,1241,67,117,.986,8,1,31,4
41,28.5,3.96,127,4700,4282,503,1070,214,26,116,480,61,24,312,975,.250,.304,.393,.698,89,1684,99,35,43,26,27,802,21,29.0,4.55,53,74,.417,4.26,127,127,126,1,5,0,31,1123.2,1122,578,532,139,385,29,999,43,5,53,4802,93,4.10,1.341,9.0,1.1,3.1,8.0,2.59,853,41,4.55,.678,127,1143,878,10113.0,4750,3371,1286,93,117,.980,5,1,-33,-1
43,28.5,4.36,126,4643,4245,549,1060,215,35,120,523,56,36,314,971,.250,.303,.402,.705,92,1705,101,26,25,33,26,741,24,29.1,4.42,65,61,.516,4.18,126,126,125,1,9,0,37,1117.0,1184,557,519,135,318,27,772,33,1,46,4767,99,4.26,1.345,9.5,1.1,2.6,6.2,2.43,859,43,4.42,.688,126,1134,912,10053.0,4697,3351,1280,66,118,.986,-16,-2,-19,-2
45,28.5,4.06,126,4747,4288,511,1039,226,11,129,491,46,15,353,1011,.242,.306,.390,.697,93,1674,96,55,23,27,32,847,23,28.3,3.64,70,56,.556,3.31,126,126,126,0,11,0,40,1134.1,1027,459,417,117,302,36,1014,33,1,29,4680,113,3.56,1.172,8.1,0.9,2.4,8.0,3.36,818,45,3.64,.702,126,1134,897,10209.0,4715,3403,1243,69,102,.985,-3,-0,11,1
51,31.5,4.67,126,4862,4334,589,1092,216,15,165,565,48,19,410,945,.252,.321,.423,.744,106,1833,83,50,22,42,17,883,31,27.6,4.28,69,57,.548,3.95,126,126,123,3,2,0,38,1136.2,1092,539,499,133,349,7,1054,44,4,63,4796,101,3.83,1.268,8.6,1.1,2.8,8.3,3.02,847,51,4.28,.686,126,1134,820,10230.0,4718,3410,1231,77,108,.984,-26,-3,-32,-4
44,28.0,4.09,128,4831,4393,524,1106,228,31,103,500,69,21,363,852,.252,.311,.388,.699,94,1705,98,27,12,33,18,871,25,27.9,4.02,55,73,.430,3.65,128,128,123,5,14,3,21,1137.0,1042,514,461,119,348,13,962,39,3,45,4742,108,3.81,1.223,8.2,0.9,2.8,7.6,2.76,817,44,4.02,.697,128,1152,874,10233.0,4799,3411,1286,102,120,.979,-10,-1,10,0
43,28.2,3.79,127,4757,4361,481,1106,224,27,99,454,71,24,292,957,.254,.304,.385,.690,89,1681,92,37,40,26,16,868,26,28.9,5.05,50,77,.394,4.77,127,127,126,1,5,1,28,1120.0,1248,641,594,146,386,29,901,50,5,45,4956,83,4.38,1.459,10.0,1.2,3.1,7.2,2.33,955,43,5.05,.666,127,1143,879,10080.0,4690,3360,1242,88,110,.981,-53,-6,-82,-10
43,28.1,4.28,125,4848,4351,535,1134,225,23,108,505,78,35,339,1015,.261,.323,.397,.720,98,1729,86,75,49,34,37,901,21,29.5,3.62,76,49,.608,3.13,125,125,125,0,11,0,43,1151.2,1085,453,401,86,353,27,1013,63,4,49,4814,121,3.42,1.249,8.5,0.7,2.8,7.9,2.87,906,42,3.62,.679,125,1125,785,10365.0,5030,3455,1483,92,146,.982,-12,-1,5,0
40,27.9,4.08,126,4700,4274,514,1045,196,28,115,492,69,23,323,1037,.245,.300,.384,.684,92,1642,81,31,37,33,16,800,22,29.2,4.42,62,64,.492,3.95,126,126,125,1,4,0,37,1127.1,1069,557,495,132,379,30,1046,42,2,34,4742,93,3.91,1.284,8.5,1.1,3.0,8.4,2.76,803,39,4.42,.688,126,1134,854,10146.0,4705,3382,1250,73,107,.984,-18,-2,-7,-1
44,28.8,3.88,127,4796,4347,493,1065,212,17,150,468,56,32,366,1042,.245,.306,.405,.711,101,1761,88,27,30,26,24,853,25,28.8,4.60,59,68,.465,4.32,127,127,121,6,9,5,36,1149.0,1129,584,551,147,383,35,991,47,3,53,4880,87,4.19,1.316,8.8,1.2,3.0,7.8,2.59,849,44,4.60,.691,127,1143,860,10341.0,4842,3447,1329,66,121,.986,-39,-5,-24,-0
39,29.0,4.29,126,4785,4333,541,1161,222,30,106,514,66,24,346,892,.268,.326,.406,.732,104,1761,110,39,37,30,21,886,18,31.8,3.81,67,59,.532,3.69,126,126,121,5,16,2,34,1120.1,1048,480,459,120,336,17,909,41,2,29,4664,100,3.90,1.235,8.4,1.0,2.7,7.3,2.71,823,39,3.81,.704,126,1134,899,10083.0,4729,3361,1308,60,116,.987,31,4,38,1
44,28.5,3.98,126,4787,4285,502,1085,220,27,105,484,61,31,383,974,.253,.320,.391,.710,94,1674,91,52,29,36,40,895,22,28.2,2.97,81,45,.643,2.65,126,126,125,1,13,0,52,1149.1,1041,374,339,85,351,27,1015,34,4,32,4766,145,3.31,1.211,8.2,0.7,2.7,7.9,2.89,944,42,2.97,.694,126,1134,829,10344.0,4780,3448,1259,73,119,.985,-2,-0,23,0
50,28.6,3.73,126,4681,4227,470,1045,207,28,118,448,75,36,342,1009,.247,.311,.393,.704,96,1662,91,62,18,32,16,832,27,26.8,3.89,62,64,.492,3.70,126,126,125,1,11,1,48,1127.0,1007,490,463,131,359,18,1059,38,3,62,4686,106,3.81,1.212,8.0,1.0,2.9,8.5,2.95,815,50,3.89,.702,126,1134,818,10143.0,4549,3381,1095,73,89,.984,10,1,21,0
54,28.5,4.46,125,4758,4272,557,1091,213,23,132,525,73,28,357,966,.255,.318,.409,.727,97,1746,80,56,33,40,22,853,29,28.1,4.71,64,61,.512,4.42,125,125,123,2,6,1,35,1115.2,1147,589,548,139,406,23,828,49,4,37,4840,95,4.48,1.392,9.3,1.1,3.3,6.7,2.04,904,54,4.71,.687,125,1125,867,10041.0,4718,3347,1278,93,128,.980,19,2,-3,-0
50,29.5,5.46,126,4804,4263,688,1124,238,11,173,657,60,18,426,882,.264,.333,.446,.779,114,1903,107,39,28,47,6,783,27,29.1,4.09,71,55,.563,3.80,126,126,120,6,8,2,27,1120.0,1056,515,473,128,317,15,873,47,3,49,4656,104,4.03,1.226,8.5,1.0,2.5,7.0,2.75,781,49,4.09,.705,126,1134,883,10080.0,4677,3360,1247,70,114,.985,39,5,5,0
43,28.5,4.25,125,4699,4185,531,1038,210,13,127,502,52,18,404,1012,.248,.317,.395,.713,94,1655,94,35,41,34,29,855,26,28.6,4.05,63,62,.504,3.77,125,125,122,3,9,2,34,1101.0,1095,506,461,109,267,30,1006,42,1,29,4623,104,3.43,1.237,9.0,0.9,2.2,8.2,3.77,814,42,4.05,.677,125,1125,920,9909.0,4544,3303,1167,74,88,.984,-11,-1,-19,-0
