STL,CHC,W
STL,CHC,L
STL,CIN,L
STL,CIN,W
STL,CIN,W
STL,MIL,L
STL,MIL,W
STL,MIL,W
STL,CIN,W
STL,CIN,W
STL,CIN,W
STL,WSN,L-wo
STL,WSN,W
STL,WSN,W
STL,MIL,W
STL,MIL,W
STL,MIL,L
STL,PHI,L
STL,PHI,W
STL,PHI,W
STL,PHI,W
STL,PIT,W-wo
STL,PIT,W-wo
STL,PIT,W-wo
STL,CHC,W
STL,CHC,W
STL,CHC,L
STL,CHC,W
STL,PIT,W
STL,PIT,L
STL,PIT,L
STL,CLE,W
STL,CLE,L
STL,CLE,W
STL,DET,L
STL,DET,L
STL,DET,W
STL,NYM,L-wo
STL,NYM,W
STL,NYM,W
STL,NYM,L
STL,KCR,L
STL,KCR,L
STL,KCR,W
STL,ARI,W-wo
STL,ARI,W
STL,ARI,W-wo
STL,LAD,W
STL,LAD,L
STL,LAD,W
STL,MIL,L
STL,MIL,W
STL,MIL,W
STL,LAD,W
STL,LAD,W
STL,LAD,L
STL,LAD,W
STL,COL,L
STL,COL,L
STL,COL,W
STL,KCR,W
STL,KCR,W
STL,MIN,W
STL,MIN,W
STL,MIN,L
STL,MIN,L-wo
STL,PHI,W
STL,PHI,W
STL,PHI,L
STL,MIA,W
STL,MIA,W
STL,MIA,W
STL,CHC,W-wo
STL,CHC,W
STL,CHC,W
STL,CHW,L
STL,CHW,L
STL,SDP,L
STL,SDP,L
STL,SDP,W
STL,SDP,W
STL,CHC,W
STL,CHC,L
STL,CHC,L
STL,CHC,W
STL,PIT,W
STL,PIT,L
STL,PIT,L-wo
STL,PIT,L-wo
STL,NYM,W
STL,NYM,W
STL,NYM,L
STL,CHW,W
STL,CHW,W
STL,KCR,W
STL,ATL,W
STL,ATL,W
STL,ATL,L
STL,CIN,W
STL,CIN,L
STL,CIN,L
STL,COL,W-wo
STL,COL,W
STL,COL,L
STL,COL,W-wo
STL,CIN,L
STL,CIN,W
STL,CIN,W
STL,MIL,W
STL,MIL,W
STL,MIL,L
STL,PIT,W
STL,PIT,W
STL,PIT,L
STL,MIA,W
STL,MIA,W
STL,MIA,L
STL,SFG,W
STL,SFG,L
STL,SFG,W
STL,SDP,L
STL,SDP,L
STL,SDP,W
STL,ARI,W
STL,ARI,W
STL,ARI,W
STL,ARI,W
STL,SFG,L-wo
STL,SFG,W
STL,SFG,W
STL,WSN,W
STL,WSN,W-wo
STL,WSN,L
STL,PIT,L
STL,PIT,W
STL,PIT,L
STL,CHC,L
STL,CHC,L
STL,CHC,W
STL,CIN,L
STL,CIN,L
STL,CIN,L
STL,CIN,W
STL,MIL,W
STL,MIL,W
STL,MIL,W
STL,CHC,L
STL,CHC,L
STL,CHC,W
STL,CIN,W
STL,CIN,W
STL,CIN,W
STL,MIL,W
STL,MIL,L
STL,MIL,W
STL,MIL,L
STL,PIT,W
STL,PIT,L
STL,PIT,W
STL,ATL,L
STL,ATL,L
STL,ATL,L
STL,CHC,W
STL,CHC,L
STL,CHC,L
STL,CHC,L
